title,artist,album,cover,file
Locked Out Of Heaven,Bruno Mars,Unorthodox Jukebox,unorthodox_jukebox.webp,locked_out_of_heaven.mp3
Treasure,Bruno Mars,Unorthodox Jukebox,unorthodox_jukebox.webp,treasure.mp3
That’s What I Like,Bruno Mars,24k Magic,24k_magic.webp,24k_magic.mp3
Uptown Funk,Bruno Mars,Uptown Special,uptown_special.webp,uptown_funk.mp3
24K Magic,Bruno Mars,24k Magic,24k_magic.webp,24k_magic.mp3
Skate,"Bruno Mars, Anderson .Paak",An Evening With Silk Sonic,an_evening_with_silk_sonic.webp,skate.mp3
Smokin Out The Window,"Bruno Mars, Anderson .Paak",An Evening With Silk Sonic,an_evening_with_silk_sonic.webp,smokin_out_the_window.mp3
Leave the Door Open,"Bruno Mars, Anderson .Paak",An Evening With Silk Sonic,an_evening_with_silk_sonic.webp,leave_the_door_open.mp3
After Last Night,"Bruno Mars, Anderson .Paak",An Evening With Silk Sonic,an_evening_with_silk_sonic.webp,after_last_night.mp3
Finesse,Bruno Mars,Finesse,finesse.webp,finesse.mp3
The Lazy Song,Bruno Mars,Doo-Wops & Hooligans,doowops__hooligans.webp,the_lazy_song.mp3
Billionaire (feat. Bruno Mars),Travie McCoy,Lazarus,billionaire_feat_bruno_mars.webp,billionaire.mp3
Count on Me,Bruno Mars,Doo-Wops & Hooligans,doowops__hooligans.webp,count_on_me.mp3
Nothin' On You (feat. Bruno Mars),B.o.B,The Adventures of Bobby Ray,bob_presents_the_adventures_of_bobby_ray.webp,nothin_on_you.mp3
Just The Way You Are,Bruno Mars,Doo-Wops & Hooligans,doowops__hooligans.webp,just_the_way_you_are.mp3
Talking To The Moon,Bruno Mars,Doo-Wops & Hooligans,doowops__hooligans.webp,talking_to_the_moon.mp3
It Will Rain,Bruno Mars,It Will Rain,it_will_rain.webp,it_will_rain.mp3
Grenade,Bruno Mars,Doo-Wops & Hooligans,doowops__hooligans.webp,grenade.mp3
Versace on the Floor,Bruno Mars,Versace On The Floor,versace_on_the_floor.webp,versace_on_the_floor.mp3
