title,artist,album,cover,file
Stay,"The Kid LAROI, Justin Bieber",F*ck Love 3: Over You,fck_love_3_over_you.webp,stay.mp3
What Do You Mean?,Justin Bieber,Purpose,purpose_deluxe.webp,what_do_you_mean.mp3
Sorry,Justin Bieber,Purpose,purpose_deluxe.webp,sorry.mp3
Yummy,Justin Bieber,Changes,changes.webp,yummy.mp3
Intentions (feat. Quavo),"Justin Bieber, Quavo",Intentions,intentions.webp,intentions.mp3
"Peaches (feat. Daniel Caesar, Giveon)",Justin Bieber,Justice,justice.webp,peaches.mp3
One Time,Justin Bieber,My World,my_world.webp,one_time.mp3
Never Say Never,"Justin Bieber, Jaden",Never Say Never: The Remixes,never_say_never__the_remixes.webp,never_say_never.mp3
Somebody to Love,Justin Bieber,My World 2.0,my_world_20.webp,somebody_to_love.mp3
Baby (feat. Ludacris),Justin Bieber,My World 2.0,my_world_20.webp,baby.mp3
